2006-02-19, 2006-04-02, Weather
2006-05-20, 2006-07-01, Fuel
2006-08-05, 2006-09-16, NormalR
2006-10-13, 2006-11-24, Transport
2006-12-03, 2007-01-14, NormalR
2007-01-21, 2007-03-04, Inflation
2007-05-13, 2007-06-24, Transport
2007-06-15, 2007-07-27, Weather
2007-07-31, 2007-09-11, Weather
2007-09-09, 2007-10-21, Weather
2007-10-29, 2007-12-10, NormalR
2007-12-13, 2008-01-24, NormalR
2008-03-09, 2008-04-20, Inflation
2008-05-16, 2008-06-27, Fuel
2008-06-13, 2008-07-25, Transport
2008-09-06, 2008-10-18, Weather
2008-09-20, 2008-11-01, Weather
2008-12-19, 2009-01-30, Transport
2009-06-13, 2009-07-25, Fuel
2009-07-20, 2009-08-31, Weather
2009-09-03, 2009-10-15, Hoarding
2009-09-17, 2009-10-29, Hoarding Weather
2009-10-17, 2009-11-28, Weather
2009-11-08, 2009-12-20, Weather
2009-11-28, 2010-01-09, Inflation
2009-12-12, 2010-01-23, Inflation
2010-01-31, 2010-03-14, NormalR
2010-03-20, 2010-05-01, Hoarding
2010-06-26, 2010-08-07, Fuel
2010-08-18, 2010-09-29, Weather
2010-10-13, 2010-11-24, NormalR
2010-12-05, 2011-01-16, Hoarding Weather
2010-12-19, 2011-01-30, Hoarding
2011-01-15, 2011-02-26, Hoarding Inflation
2011-07-23, 2011-09-03, Inflation
2011-08-13, 2011-09-24, Weather Hoarding
2011-10-15, 2011-11-26, Inflation Fuel
2011-12-07, 2012-01-18, NormalR
2012-01-21, 2012-03-03, NormalR
2012-03-28, 2012-05-09, Hoarding
2012-07-01, 2012-08-12, Weather
2012-08-18, 2012-09-29, NormalR
2012-10-02, 2012-11-13, NormalR
2012-12-07, 2013-01-18, Weather
2013-01-17, 2013-02-28, Hoarding
2013-06-29, 2013-08-10, Weather
2013-07-31, 2013-09-11, Weather
2013-08-30, 2013-10-11, Weather Hoarding
2013-09-30, 2013-11-11, Hoarding
2013-10-24, 2013-12-05, Hoarding
2013-12-11, 2014-01-22, NormalR
2014-01-25, 2014-03-08, NormalR
2014-03-29, 2014-05-10, Weather
2014-05-26, 2014-07-07, Hoarding
2014-08-22, 2014-10-03, Hoarding
2014-10-07, 2014-11-18, NormalR
2014-11-21, 2015-01-02, NormalR
2015-01-05, 2015-02-16, NormalR
2015-02-27, 2015-04-10, Hoarding
2015-06-10, 2015-07-22, Weather
2015-07-11, 2015-08-22, Weather
2015-08-04, 2015-09-15, Weather
2015-09-17, 2015-10-29, NormalR
2015-11-01, 2015-12-13, NormalR
2015-12-16, 2016-01-27, NormalR
2016-01-30, 2016-03-12, NormalR
2016-05-30, 2016-07-11, Inflation
2016-08-12, 2016-09-23, NormalR
2016-10-23, 2016-12-04, Transport
2016-12-10, 2017-01-21, NormalR
2017-01-24, 2017-03-07, NormalR
2017-07-20, 2017-08-31, Hoarding
2017-08-25, 2017-10-06, Transport
2017-09-22, 2017-11-03, Weather
